zona_geo_h,hospedes_tipo_aloj,hospedes_anos,hospedes_mes,textbox9,textbox23,textbox25,textbox27,textbox28,textbox29
Ilha de Santa Maria,Hotelaria Tradicional,2004,Dezembro,  147, 6 596, 162 211,  157, 8 777, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Janeiro,  292, 7 493, 162 211,  314, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Fevereiro,  313, 7 493, 162 211,  328, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Março,  320, 7 493, 162 211,  340, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Abril,  289, 7 493, 162 211,  321, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Maio,  741, 7 493, 162 211,  779, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Junho, 1 064, 7 493, 162 211, 1 114, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Julho, 1 027, 7 493, 162 211, 1 482, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Agosto, 1 351, 7 493, 162 211, 2 820, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Setembro,  796, 7 493, 162 211,  957, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Outubro,  736, 7 493, 162 211,  749, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Novembro,  362, 7 493, 162 211,  389, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2005,Dezembro,  202, 7 493, 162 211,  214, 9 807, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Janeiro,  339, 7 400, 162 211,  348, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Fevereiro,  261, 7 400, 162 211,  264, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Março,  343, 7 400, 162 211,  357, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Abril,  627, 7 400, 162 211,  646, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Maio,  677, 7 400, 162 211,  692, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Junho,  437, 7 400, 162 211,  514, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Julho,  714, 7 400, 162 211,  998, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Agosto, 1 292, 7 400, 162 211, 2 289, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Setembro, 1 107, 7 400, 162 211, 1 295, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Outubro,  789, 7 400, 162 211,  816, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Novembro,  402, 7 400, 162 211,  419, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2006,Dezembro,  412, 7 400, 162 211,  420, 9 058, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Janeiro,  445, 9 100, 162 211,  456, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Fevereiro,  234, 9 100, 162 211,  242, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Março,  443, 9 100, 162 211,  465, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Abril,  738, 9 100, 162 211,  744, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Maio,  815, 9 100, 162 211,  831, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Junho,  963, 9 100, 162 211, 1 096, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Julho, 1 272, 9 100, 162 211, 1 634, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Agosto, 1 794, 9 100, 162 211, 3 410, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Setembro,  963, 9 100, 162 211, 1 120, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Outubro,  706, 9 100, 162 211,  728, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Novembro,  463, 9 100, 162 211,  464, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2007,Dezembro,  264, 9 100, 162 211,  278, 11 468, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2008,Janeiro,  388, 8 589, 162 211,  399, 11 177, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2008,Fevereiro,  464, 8 589, 162 211,  475, 11 177, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2008,Março,  463, 8 589, 162 211,  478, 11 177, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2008,Abril,  395, 8 589, 162 211,  416, 11 177, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2008,Maio,  859, 8 589, 162 211,  875, 11 177, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2008,Junho, 1 048, 8 589, 162 211, 1 220, 11 177, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2008,Julho, 1 103, 8 589, 162 211, 1 539, 11 177, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2008,Agosto, 1 779, 8 589, 162 211, 3 383, 11 177, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2008,Setembro,  847, 8 589, 162 211, 1 114, 11 177, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2008,Outubro,  546, 8 589, 162 211,  565, 11 177, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2008,Novembro,  391, 8 589, 162 211,  398, 11 177, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2008,Dezembro,  306, 8 589, 162 211,  315, 11 177, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2009,Janeiro,  376, 8 877, 162 211,  386, 11 626, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2009,Fevereiro,  468, 8 877, 162 211,  490, 11 626, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2009,Março,  687, 8 877, 162 211,  698, 11 626, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2009,Abril,  468, 8 877, 162 211,  488, 11 626, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2009,Maio,  548, 8 877, 162 211,  576, 11 626, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2009,Junho,  738, 8 877, 162 211,  828, 11 626, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2009,Julho, 1 114, 8 877, 162 211, 1 629, 11 626, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2009,Agosto, 1 840, 8 877, 162 211, 3 637, 11 626, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2009,Setembro, 1 154, 8 877, 162 211, 1 376, 11 626, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2009,Outubro,  461, 8 877, 162 211,  468, 11 626, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2009,Novembro,  399, 8 877, 162 211,  408, 11 626, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2009,Dezembro,  624, 8 877, 162 211,  642, 11 626, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2010,Janeiro,  591, 9 215, 162 211,  613, 11 641, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2010,Fevereiro,  451, 9 215, 162 211,  470, 11 641, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2010,Março,  419, 9 215, 162 211,  431, 11 641, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2010,Abril, 1 046, 9 215, 162 211, 1 060, 11 641, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2010,Maio,  661, 9 215, 162 211,  675, 11 641, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2010,Junho,  864, 9 215, 162 211,  921, 11 641, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2010,Julho, 1 391, 9 215, 162 211, 1 988, 11 641, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2010,Agosto, 1 353, 9 215, 162 211, 2 823, 11 641, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2010,Setembro, 1 170, 9 215, 162 211, 1 346, 11 641, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2010,Outubro,  527, 9 215, 162 211,  537, 11 641, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2010,Novembro,  427, 9 215, 162 211,  446, 11 641, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2010,Dezembro,  315, 9 215, 162 211,  331, 11 641, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2011,Janeiro,  406, 8 635, 162 211,  418, 10 638, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2011,Fevereiro,  403, 8 635, 162 211,  415, 10 638, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2011,Março,  750, 8 635, 162 211,  777, 10 638, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2011,Abril,  741, 8 635, 162 211,  760, 10 638, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2011,Maio,  588, 8 635, 162 211,  621, 10 638, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2011,Junho, 1 074, 8 635, 162 211, 1 313, 10 638, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2011,Julho, 1 186, 8 635, 162 211, 1 669, 10 638, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2011,Agosto, 1 512, 8 635, 162 211, 2 533, 10 638, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2011,Setembro,  975, 8 635, 162 211, 1 072, 10 638, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2011,Outubro,  459, 8 635, 162 211,  486, 10 638, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2011,Novembro,  339, 8 635, 162 211,  357, 10 638, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2011,Dezembro,  202, 8 635, 162 211,  217, 10 638, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2012,Janeiro,  565, 9 275, 162 211,  584, 12 666, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2012,Fevereiro,  285, 9 275, 162 211,  307, 12 666, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2012,Março,  580, 9 275, 162 211,  595, 12 666, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2012,Abril,  323, 9 275, 162 211,  341, 12 666, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2012,Maio,  821, 9 275, 162 211, 1 029, 12 666, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2012,Junho,  708, 9 275, 162 211,  998, 12 666, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2012,Julho, 1 039, 9 275, 162 211, 1 686, 12 666, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2012,Agosto, 1 634, 9 275, 162 211, 3 288, 12 666, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2012,Setembro, 1 250, 9 275, 162 211, 1 590, 12 666, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2012,Outubro, 1 113, 9 275, 162 211, 1 205, 12 666, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2012,Novembro,  719, 9 275, 162 211,  788, 12 666, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2012,Dezembro,  238, 9 275, 162 211,  255, 12 666, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2013,Janeiro,  306, 6 610, 162 211,  362, 9 814, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2013,Fevereiro,  428, 6 610, 162 211,  575, 9 814, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2013,Março,  332, 6 610, 162 211,  395, 9 814, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2013,Abril,  471, 6 610, 162 211,  600, 9 814, 221 409
Ilha de Santa Maria,Hotelaria Tradicional,2013,Maio,  478, 6 610, 162 211,  568, 9 814, 221 409
