Sector2,Ano2,MesDesc2,textbox_MatrixRow_EnergiaConsumida2,Textbox11,
Comércio e Serviços,1995,Junho,6 999 507,26 432 394,
Comércio e Serviços,1995,Julho,7 403 488,26 441 335,
Comércio e Serviços,1995,Agosto,7 231 176,25 883 721,
Comércio e Serviços,1995,Setembro,8 191 079,29 465 445,
Comércio e Serviços,1995,Outubro,7 619 270,28 013 549,
Comércio e Serviços,1995,Novembro,7 591 014,27 799 106,
Comércio e Serviços,1995,Dezembro,7 200 002,26 126 953,
Comércio e Serviços,1996,Janeiro,7 203 709,27 108 059,
Comércio e Serviços,1996,Fevereiro,6 782 548,27 728 268,
Comércio e Serviços,1996,Março,6 659 948,25 963 191,
Comércio e Serviços,1996,Abril,6 897 412,26 778 073,
Comércio e Serviços,1996,Maio,6 927 159,26 926 373,
Comércio e Serviços,1996,Junho,7 396 584,27 684 386,
Comércio e Serviços,1996,Julho,7 325 701,27 454 147,
Comércio e Serviços,1996,Agosto,8 572 328,30 902 215,
Comércio e Serviços,1996,Setembro,8 525 921,29 780 267,
Comércio e Serviços,1996,Outubro,7 906 278,29 236 892,
Comércio e Serviços,1996,Novembro,8 201 408,30 769 683,
Comércio e Serviços,1996,Dezembro,6 913 714,27 221 725,
Comércio e Serviços,1997,Janeiro,7 912 785,31 255 658,
Comércio e Serviços,1997,Fevereiro,7 124 689,27 713 715,
Comércio e Serviços,1997,Março,6 692 499,26 298 105,
Comércio e Serviços,1997,Abril,7 440 888,28 359 207,
Comércio e Serviços,1997,Maio,7 381 175,28 223 542,
Comércio e Serviços,1997,Junho,7 331 982,28 027 032,
Comércio e Serviços,1997,Julho,8 215 157,30 124 021,
Comércio e Serviços,1997,Agosto,8 975 939,31 087 075,
Comércio e Serviços,1997,Setembro,8 721 109,31 076 713,
Comércio e Serviços,1997,Outubro,8 656 118,31 450 421,
Comércio e Serviços,1997,Novembro,8 034 292,31 099 417,
Comércio e Serviços,1997,Dezembro,7 609 187,29 936 437,
Comércio e Serviços,1998,Janeiro,8 437 115,31 977 755,
Comércio e Serviços,1998,Fevereiro,7 386 832,29 614 166,
Comércio e Serviços,1998,Março,7 791 037,29 635 545,
Comércio e Serviços,1998,Abril,8 043 610,31 245 521,
Comércio e Serviços,1998,Maio,7 771 893,30 077 807,
Comércio e Serviços,1998,Junho,8 149 098,30 518 011,
Comércio e Serviços,1998,Julho,9 361 791,33 017 693,
Comércio e Serviços,1998,Agosto,9 750 648,34 031 701,
Comércio e Serviços,1998,Setembro,9 932 584,35 011 553,
Comércio e Serviços,1998,Outubro,10 335 434,35 527 480,
Comércio e Serviços,1998,Novembro,8 934 791,33 064 149,
Comércio e Serviços,1998,Dezembro,9 323 080,33 151 154,
Comércio e Serviços,1999,Janeiro,9 483 501,35 311 414,
Comércio e Serviços,1999,Fevereiro,8 179 795,31 165 699,
Comércio e Serviços,1999,Março,8 386 675,31 671 670,
Comércio e Serviços,1999,Abril,9 563 034,34 737 266,
Comércio e Serviços,1999,Maio,8 771 606,32 120 619,
Comércio e Serviços,1999,Junho,10 071 438,35 666 193,
Comércio e Serviços,1999,Julho,10 256 187,35 101 610,
Comércio e Serviços,1999,Agosto,11 346 799,38 032 300,
Comércio e Serviços,1999,Setembro,11 199 184,37 658 025,
Comércio e Serviços,1999,Outubro,10 491 321,36 333 636,
Comércio e Serviços,1999,Novembro,9 860 280,35 906 333,
Comércio e Serviços,1999,Dezembro,9 331 323,34 316 360,
Comércio e Serviços,2000,Janeiro,10 303 385,37 745 383,
Comércio e Serviços,2000,Fevereiro,9 327 018,35 688 764,
Comércio e Serviços,2000,Março,9 741 575,36 157 092,
