Origem,Ano,MesDesc,textbox_MatrixRow_EnergiaProduzida,Textbox32,
Biogás,1997,Julho,0,36 653 860,
Biogás,1997,Agosto,0,37 323 262,
Biogás,1997,Setembro,0,36 011 983,
Biogás,1997,Outubro,0,37 592 249,
Biogás,1997,Novembro,0,34 833 785,
Biogás,1997,Dezembro,0,37 264 381,
Biogás,1998,Janeiro,0,36 676 607,
Biogás,1998,Fevereiro,12,32 870 929,
Biogás,1998,Março,78,35 714 035,
Biogás,1998,Abril,6,34 420 448,
Biogás,1998,Maio,0,36 091 693,
Biogás,1998,Junho,0,36 459 508,
Biogás,1998,Julho,0,40 418 212,
Biogás,1998,Agosto,18,41 256 701,
Biogás,1998,Setembro,0,40 365 519,
Biogás,1998,Outubro,0,40 657 600,
Biogás,1998,Novembro,0,38 939 970,
Biogás,1998,Dezembro,0,39 639 485,
Biogás,1999,Janeiro,0,39 649 420,
Biogás,1999,Fevereiro,0,35 067 360,
Biogás,1999,Março,0,38 602 570,
Biogás,1999,Abril,0,37 871 480,
Biogás,1999,Maio,0,39 174 510,
Biogás,1999,Junho,0,39 717 820,
Biogás,1999,Julho,0,43 941 365,
Biogás,1999,Agosto,0,45 178 580,
Biogás,1999,Setembro,0,42 473 685,
Biogás,1999,Outubro,0,42 162 835,
Biogás,1999,Novembro,0,40 236 120,
Biogás,1999,Dezembro,0,43 711 430,
Biogás,2000,Janeiro,0,42 140 702,
Biogás,2000,Fevereiro,0,39 532 406,
Biogás,2000,Março,0,41 616 705,
Biogás,2000,Abril,0,38 955 855,
Biogás,2000,Maio,0,41 948 401,
Biogás,2000,Junho,0,42 481 164,
Biogás,2000,Julho,0,45 109 969,
Biogás,2000,Agosto,0,46 889 671,
Biogás,2000,Setembro,0,45 454 350,
Biogás,2000,Outubro,0,45 875 547,
Biogás,2000,Novembro,0,44 309 730,
Biogás,2000,Dezembro,0,45 767 855,
Biogás,2001,Janeiro,0,46 203 338,
Biogás,2001,Fevereiro,0,41 144 860,
Biogás,2001,Março,0,45 237 636,
Biogás,2001,Abril,0,42 219 651,
Biogás,2001,Maio,0,45 228 076,
Biogás,2001,Junho,0,44 747 151,
Biogás,2001,Julho,60,49 806 517,
Biogás,2001,Agosto,0,50 769 881,
Biogás,2001,Setembro,0,48 578 308,
Biogás,2001,Outubro,0,48 076 996,
Biogás,2001,Novembro,0,46 770 050,
Biogás,2001,Dezembro,0,50 419 937,
Biogás,2002,Janeiro,0,49 449 202,
Biogás,2002,Fevereiro,0,44 278 285,
Biogás,2002,Março,0,48 552 756,
Biogás,2002,Abril,0,46 772 479,
Biogás,2002,Maio,0,48 392 035,
Biogás,2002,Junho,0,47 897 026,
Biogás,2002,Julho,0,52 571 932,
Biogás,2002,Agosto,0,54 062 942,
Biogás,2002,Setembro,0,51 179 734,
Biogás,2002,Outubro,0,51 686 256,
Biogás,2002,Novembro,0,51 176 244,
Biogás,2002,Dezembro,0,54 871 029,
Biogás,2003,Janeiro,0,53 373 713,
Biogás,2003,Fevereiro,0,48 071 533,
Biogás,2003,Março,0,51 422 616,
Biogás,2003,Abril,0,49 307 914,
Biogás,2003,Maio,0,51 410 571,
Biogás,2003,Junho,0,51 339 566,
Biogás,2003,Julho,0,56 796 448,
Biogás,2003,Agosto,0,57 265 427,
Biogás,2003,Setembro,0,55 710 836,
Biogás,2003,Outubro,0,54 405 570,
Biogás,2003,Novembro,0,54 147 490,
Biogás,2003,Dezembro,0,57 571 670,
Biogás,2004,Janeiro,0,57 119 452,
Biogás,2004,Fevereiro,0,52 769 903,
Biogás,2004,Março,0,56 053 380,
Biogás,2004,Abril,0,54 046 297,
Biogás,2004,Maio,0,55 259 592,
Biogás,2004,Junho,0,57 100 515,
Biogás,2004,Julho, 62 765,60 878 395,
Biogás,2004,Agosto, 16 320,61 532 545,
Biogás,2004,Setembro, 31 980,61 890 998,
Biogás,2004,Outubro, 29 340,62 182 592,
Biogás,2004,Novembro, 47 415,59 842 155,
Biogás,2004,Dezembro, 43 965,64 010 580,
Biogás,2005,Janeiro, 44 700,62 557 251,
Biogás,2005,Fevereiro, 48 420,55 625 249,
Biogás,2005,Março, 44 055,61 762 864,
Biogás,2005,Abril, 34 125,59 196 414,
Biogás,2005,Maio, 9 810,59 625 114,
Biogás,2005,Junho, 57 480,60 851 047,
Biogás,2005,Julho, 37 230,64 286 715,
Biogás,2005,Agosto, 61 590,67 523 095,
Biogás,2005,Setembro, 71 970,66 036 852,
Biogás,2005,Outubro, 37 275,64 480 775,
Biogás,2005,Novembro, 11 745,61 617 358,
Biogás,2005,Dezembro, 25 575,66 513 311,
Biogás,2006,Janeiro, 5 865,65 289 048,
Biogás,2006,Fevereiro, 38 340,58 169 924,
Biogás,2006,Março, 23 670,64 070 753,
Biogás,2006,Abril, 6 660,59 979 495,
Biogás,2006,Maio, 33 675,63 200 109,
Biogás,2006,Junho, 25 635,62 136 200,
Biogás,2006,Julho, 69 090,68 249 435,
Biogás,2006,Agosto, 26 040,70 631 277,
Biogás,2006,Setembro, 16 395,67 960 890,
Biogás,2006,Outubro, 39 901,66 886 558,
Biogás,2006,Novembro, 80 655,64 799 712,
Biogás,2006,Dezembro, 17 662,69 326 209,
Biogás,2007,Janeiro,0,68 281 945,
Biogás,2007,Fevereiro,295,61 429 093,
Biogás,2007,Março, 7 654,66 003 620,
Biogás,2007,Abril, 4 390,62 297 956,
Biogás,2007,Maio,725,65 171 254,
Biogás,2007,Junho, 3 356,64 953 463,
Biogás,2007,Julho, 18 469,70 698 411,
Biogás,2007,Agosto, 41 000,71 855 978,
Biogás,2007,Setembro, 55 477,67 669 627,
Biogás,2007,Outubro, 18 878,69 749 069,
Biogás,2007,Novembro, 25 413,66 793 437,
Biogás,2007,Dezembro, 26 063,70 036 362,
Biogás,2008,Janeiro, 1 622,69 409 577,
Biogás,2008,Fevereiro,357,64 166 599,
Biogás,2008,Março,977,65 732 501,
Biogás,2008,Abril, 1 157,64 058 118,
Biogás,2008,Maio,477,66 045 807,
Biogás,2008,Junho,264,67 279 279,
Biogás,2008,Julho, 2 958,72 429 656,
Biogás,2008,Agosto, 7 639,74 208 878,
Biogás,2008,Setembro, 1 804,69 957 805,
Biogás,2008,Outubro,0,72 498 077,
Biogás,2008,Novembro, 11 382,67 024 181,
Biogás,2008,Dezembro, 1 363,70 880 946,
Biogás,2009,Janeiro, 2 502,70 172 904,
Biogás,2009,Fevereiro, 3 436,62 527 858,
